기간,자치구,구별 인구수
2014,강남구,578114
2014,강동구,476597
2014,강북구,335025
2014,강서구,585160
2014,관악구,513186
2014,광진구,363354
2014,구로구,425831
2014,금천구,238463
2014,노원구,582552
2014,도봉구,353709
2014,동대문구,363687
2014,동작구,407470
2014,마포구,385439
2014,서대문구,310376
2014,서초구,449678
2014,성동구,296086
2014,성북구,466706
2014,송파구,664738
2014,양천구,486221
2014,영등포구,382352
2014,용산구,235951
2014,은평구,498644
2014,종로구,156993
2014,중구,128065
2014,중랑구,418836
2015,강남구,576495
2015,강동구,458658
2015,강북구,330873
2015,강서구,589074
2015,관악구,509663
2015,광진구,360369
2015,구로구,422092
2015,금천구,236284
2015,노원구,574583
2015,도봉구,351242
2015,동대문구,360153
2015,동작구,400641
2015,마포구,387643
2015,서대문구,312141
2015,서초구,446764
2015,성동구,297003
2015,성북구,459275
2015,송파구,660302
2015,양천구,484532
2015,영등포구,378504
2015,용산구,233342
2015,은평구,497920
2015,종로구,154986
2015,중구,125733
2015,중랑구,413909
2016,강남구,567115
2016,강동구,444168
2016,강북구,327195
2016,강서구,595485
2016,관악구,506851
2016,광진구,357215
2016,구로구,417551
2016,금천구,235386
2016,노원구,567581
2016,도봉구,348220
2016,동대문구,355069
2016,동작구,400997
2016,마포구,379892
2016,서대문구,314194
2016,서초구,447192
2016,성동구,299259
2016,성북구,450355
2016,송파구,657831
2016,양천구,477739
2016,영등포구,370613
2016,용산구,230241
2016,은평구,491476
2016,종로구,152737
2016,중구,125249
2016,중랑구,411005
2017,강남구,556164
2017,강동구,436223
2017,강북구,324479
2017,강서구,601691
2017,관악구,503297
2017,광진구,357703
2017,구로구,410742
2017,금천구,235154
2017,노원구,554403
2017,도봉구,344166
2017,동대문구,350647
2017,동작구,396217
2017,마포구,374915
2017,서대문구,312800
2017,서초구,441102
2017,성동구,304808
2017,성북구,444055
2017,송파구,664496
2017,양천구,471154
2017,영등포구,368550
2017,용산구,229161
2017,은평구,486794
2017,종로구,154770
2017,중구,125709
2017,중랑구,408226